Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
6,14336,9913.853236607143,7.254464285714286,139,124225,1024,0,104,1003,2824,1366,41694,0,0,0,0,BENIGN
6,14336,9913.853236607143,7.32421875,137,123186,1024,0,105,1003,1412,1353,20887,0,0,0,0,BENIGN
6,14336,9913.853236607143,7.32421875,137,123166,1025,0,105,1003,1412,1353,20887,0,0,0,0,BENIGN
6,14992,16635.272145144078,13.60725720384205,73,290448,7091,0,204,0,2848,1222,244737,0,1,0,21,BENIGN
6,8751,86223.06022168895,61.82150611358702,16,93191,6773,0,541,0,2848,1394,42378,0,1,0,29,BENIGN
6,8485,78105.95167943429,56.098998232174424,17,122764,7414,0,476,0,1424,1392,33581,0,1,0,24,BENIGN
6,12804,351.4526710402999,0.7029053420805998,1600,9302940,7883,0,9,0,1440,500,365533,0,1,0,5,BENIGN
6,241,17734.439834024895,41.49377593360996,26,958,66,0,10,0,1460,427,394343,0,1,0,4,BENIGN
6,178,43505.61797752809,123.59550561797752,8,379,63,0,22,0,1460,352,369308,0,1,0,5,BENIGN
6,112,1991.0714285714287,44.642857142857146,28,1008,56,0,5,0,154,44,4620,0,1,0,2,BENIGN
6,10878,3963.320463320463,3.401360544217687,302,1378026,6069,0,37,0,1424,1165,272274,0,0,0,5,BENIGN
6,6,514833.3333333333,1166.6666666666667,1,2,3,0,7,0,1460,441,487519,0,1,0,2,BENIGN
6,7,320857.14285714284,857.1428571428571,1,1,3,0,6,0,1460,374,342436,0,1,0,2,BENIGN
6,7,359285.71428571426,857.1428571428571,1,1,3,0,6,0,1460,419,382024,0,1,0,2,BENIGN
6,33,1166666.6666666667,939.3939393939394,1,12,18,0,31,0,1460,1241,201494,0,1,0,6,BENIGN
6,6,5022666.666666667,4333.333333333333,0,0,3,0,26,0,1460,1159,322274,0,1,0,3,BENIGN
6,109,114577.98165137615,183.4862385321101,5,121,29,0,20,0,1460,624,476554,0,1,0,8,BENIGN
6,136,297507.35294117645,279.4117647058824,3,102,29,0,38,0,1460,1064,393443,0,1,0,6,BENIGN
6,134,45679.10447761194,59.701492537313435,19,1422,102,0,8,0,2920,765,1123216,0,1,0,3,BENIGN
6,970,67753.60824742269,59.79381443298969,17,7922,658,0,58,0,1460,1133,344067,0,1,0,26,BENIGN
6,181,1232.0441988950276,27.624309392265193,45,2670,90,0,5,0,154,44,4620,0,1,0,2,BENIGN
6,439,15394.077448747152,34.16856492027335,31,2706,147,0,15,0,1460,450,410174,0,1,0,5,BENIGN
6,173,574040.4624277457,416.1849710982659,2,37,28,0,72,346,1424,1379,41014,0,0,0,4,BENIGN
6,9586,72135.61443772168,51.84644272897976,19,148852,8596,0,497,0,2848,1391,56493,0,1,0,25,BENIGN
6,163,543993.8650306748,392.63803680981596,2,35,23,0,64,247,1424,1385,33695,0,0,0,4,BENIGN
6,9610,67220.29136316337,48.49115504682622,20,160900,8652,0,466,0,1424,1386,43545,0,1,0,23,BENIGN
6,9552,66426.8216080402,47.63400335008375,21,165116,8661,0,455,0,2848,1394,36694,0,1,0,20,BENIGN
6,9563,62319.983268848686,44.44212067342884,22,177026,8666,0,425,0,2848,1402,40606,0,1,0,21,BENIGN
6,16,851000.0,937.5,1,2,5,0,15,0,1412,907,412225,0,1,0,3,BENIGN
6,9,1298000.0,1333.3333333333333,0,2,4,0,12,0,1412,973,408235,0,1,0,2,BENIGN
6,57,4614.035087719299,52.63157894736842,28,1512,56,1,3,0,263,87,23056,0,1,0,1,BENIGN
6,132,349803.0303030303,265.1515151515151,3,169,42,0,35,0,1460,1319,161599,0,1,0,4,BENIGN
6,143,283356.6433566434,216.78321678321677,4,219,46,0,31,0,1460,1307,170201,0,1,0,4,BENIGN
6,175,386617.14285714284,280.0,3,165,43,0,49,0,1460,1380,102120,0,1,0,3,BENIGN
6,190,368642.1052631579,300.0,3,205,50,0,57,0,1460,1228,248394,0,1,0,11,BENIGN
6,10236,1099559.4958968346,758.0109417741305,1,3163,4144,0,7759,0,8760,1450,90397,0,1,0,83,BENIGN
6,113,4929.203539823009,44.24778761061947,28,1027,56,0,5,0,287,111,23260,0,1,0,2,BENIGN
6,189,37449.735449735446,79.36507936507937,13,620,76,0,15,0,1460,471,413720,0,1,0,5,BENIGN
6,172,49500.0,110.46511627906976,9,385,58,0,19,0,1460,448,405468,0,1,0,7,BENIGN
6,115,55269.565217391304,86.95652173913044,12,591,56,0,10,0,1460,635,513377,0,1,0,3,BENIGN
6,111,2009.009009009009,45.04504504504504,27,942,55,1,5,0,154,44,4620,0,1,0,2,BENIGN
6,195,46825.64102564102,107.6923076923077,9,259,60,0,21,0,1460,434,372561,0,1,0,8,BENIGN
6,3715,917.092866756393,1.8842530282637955,619,2109087,3584,0,7,0,1424,486,431880,0,0,0,3,BENIGN
6,122,50172.13114754098,73.77049180327869,15,768,62,0,9,0,1460,680,515180,0,1,0,3,BENIGN
6,124,50201.6129032258,80.64516129032258,13,703,63,0,10,0,1440,622,501500,0,1,0,4,BENIGN
6,117,63658.11965811966,85.47008547008546,13,607,58,0,10,0,1460,744,503888,0,1,0,3,BENIGN
6,120,63175.0,83.33333333333333,13,586,56,0,10,0,1460,758,518670,0,1,0,3,BENIGN
6,394,16223.350253807106,20.304568527918782,56,9170,198,0,8,0,1460,799,516036,0,1,0,3,BENIGN
6,584,103565.06849315068,94.17808219178082,10,1613,262,0,55,0,1460,1099,376053,0,1,0,24,BENIGN
6,238,22626.050420168067,54.621848739495796,19,786,63,0,13,0,1460,414,320449,0,1,0,5,BENIGN
6,12,3403583.3333333335,2833.3333333333335,0,0,5,0,34,0,1460,1201,254906,0,1,0,6,BENIGN
6,2865,78080.27923211169,67.36474694589877,14,32579,2506,0,193,0,1460,1159,317152,0,1,0,34,BENIGN
6,2085,6776.4988009592325,11.990407673860911,86,123704,1737,0,25,0,1460,565,443940,0,1,0,11,BENIGN
6,2029,224774.27304090685,163.13454903893543,6,13131,1935,0,331,0,1460,1377,87897,0,1,0,27,BENIGN
6,2157,42532.6842837274,32.452480296708394,31,53569,1914,0,70,0,1460,1310,146660,0,1,0,9,BENIGN
6,2227,122907.49887741356,88.45981140547822,11,19848,1911,0,197,0,2920,1389,117596,0,1,0,15,BENIGN
6,183,36579.234972677594,81.9672131147541,13,644,64,0,15,0,1460,446,365887,0,1,0,6,BENIGN
6,9136,128.94045534150612,0.6567425569176882,1827,15822407,8943,42,6,0,556,196,74462,0,0,0,4,BENIGN
6,169,45781.065088757394,130.17751479289942,8,356,59,0,22,0,1460,351,369046,0,1,0,5,BENIGN
6,121,52528.925619834714,82.64462809917356,13,663,62,0,10,0,1460,635,513377,0,1,0,3,BENIGN
6,207,743.9613526570048,9.66183574879227,207,1,207,207,2,0,154,77,11858,0,0,0,1,BENIGN
6,87,6218.390804597701,45.97701149425287,29,588,43,1,4,0,287,135,24638,0,1,0,2,BENIGN
6,13717,548.8080484070861,0.9477290952832252,1143,5447264,7565,0,13,0,1432,579,341815,0,1,0,6,BENIGN
6,81,50765.432098765436,86.41975308641975,13,281,44,0,7,0,1424,587,409230,0,1,0,2,BENIGN
6,32,16125.0,125.0,10,85,16,0,4,0,271,129,22363,0,1,0,2,BENIGN
6,64,8203.125,78.125,16,337,32,0,5,0,271,105,20728,0,1,0,2,BENIGN
6,81,61691.358024691355,86.41975308641975,13,346,39,0,7,0,1432,713,393830,0,1,0,3,BENIGN
6,10379,600.5395510164756,4.5283746025628675,225,420735,3212,0,47,0,1432,132,87532,0,1,0,25,BENIGN
6,14985,157.62429095762428,0.4004004004004004,2997,64,3005,2988,6,393,394,393,0,0,0,0,6,BENIGN
6,37,139000.0,216.21621621621622,5,71,18,0,8,0,1460,642,389875,0,1,0,4,BENIGN
6,89,6707.865168539326,33.70786516853933,44,4,46,43,3,0,556,199,95828,0,0,0,2,BENIGN
6,186,38048.3870967742,80.64516129032258,13,629,75,0,15,0,1460,471,413469,0,1,0,5,BENIGN
6,171,49567.25146198831,105.26315789473684,10,390,58,0,18,0,1460,470,422552,0,1,0,6,BENIGN
