Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
6,14617,0,0.342067455702264,3654,26890969,11096,100,5,0,0,0,0,0,3,2,0,Attack
6,14613,0,0.410593307329091,2922,5417383,5964,85,6,0,0,0,0,0,4,2,0,Attack
6,14615,0,0.410537119397879,2923,9212765,7418,74,6,0,0,0,0,0,4,2,0,Attack
6,14614,0,0.410565211441084,2922,2616171,3935,75,6,0,0,0,0,0,4,2,0,Attack
6,14614,0,0.478992746681265,2435,3296602,3815,73,7,0,0,0,0,0,5,2,0,Attack
6,14614,0,0.478992746681265,2435,6752811,7425,66,7,0,0,0,0,0,4,3,0,Attack
6,14617,0,0.47889443798317,2436,8562895,7429,64,7,0,0,0,0,0,4,3,0,Attack
6,14613,0,0.479025525217272,2435,8458333,7356,118,7,0,0,0,0,0,4,3,0,Attack
6,14613,0,0.615889960993636,1826,3310201,3672,118,9,0,0,0,0,0,5,4,0,Attack
6,14617,0,0.410480946842717,2923,8490897,7004,63,6,0,0,0,0,0,4,2,0,Attack
6,14617,0,0.547307929123623,2088,2600920,3621,61,8,0,0,0,0,0,5,3,0,Attack
6,14613,0,0.615889960993636,1826,3310201,3672,118,9,0,0,0,0,0,5,4,0,Attack
6,14615,0,0.410537119397879,2923,8980363,7357,119,6,0,0,0,0,0,4,2,0,Attack
6,14618,0,0.410452866329183,2923,8509617,7004,50,6,0,0,0,0,0,4,2,0,Attack
6,14613,0,0.410593307329091,2922,8993876,7357,117,6,0,0,0,0,0,4,2,0,Attack
6,14625,0,0.478632478632479,2437,3234509,3718,108,7,0,0,0,0,0,5,2,0,Attack
6,14627,0,0.341833595405756,3656,25733577,10834,30,5,0,0,0,0,0,3,2,0,Attack
6,14599,0,0.410987053907802,2919,9103291,7394,109,6,0,0,0,0,0,4,2,0,Attack
6,14602,0,0.410902616079989,2920,9097546,7394,112,6,0,0,0,0,0,4,2,0,Attack
6,14603,0,0.342395398205848,3650,9171370,7515,113,5,0,0,0,0,0,4,1,0,Attack
6,14619,0,0.410424789657295,2923,5946906,6372,85,6,0,0,0,0,0,4,2,0,Attack
6,14619,0,0.410424789657295,2923,5945370,6371,85,6,0,0,0,0,0,4,2,0,Attack
6,14619,0,0.273616526438197,4873,31970044,11111,85,4,0,0,0,0,0,3,1,0,Attack
6,14637,0,0.478240076518412,2439,8572729,7408,107,7,0,0,0,0,0,4,3,0,Attack
6,14636,0,0.204974036622028,7318,103536050,14513,123,3,0,0,0,0,0,2,1,0,Attack
6,14635,0,0.341646737273659,3658,25298880,11086,123,5,0,0,0,0,0,3,2,0,Attack
6,14634,0,0.546672133388001,2090,3406922,3675,109,8,0,0,0,0,0,5,3,0,Attack
6,14635,0,0.614964127092586,1829,3363116,3676,109,9,0,0,0,0,0,5,4,0,Attack
6,14630,0,0.341763499658236,3657,26626204,11059,119,5,0,0,0,0,0,3,2,0,Attack
6,14600,0,0.410958904109589,2920,9069860,7390,117,6,0,0,0,0,0,4,2,0,Attack
6,14598,0,0.3425126729689,3649,26505246,11071,120,5,0,0,0,0,0,3,2,0,Attack
6,14600,0,0.410958904109589,2920,9050313,7382,118,6,0,0,0,0,0,4,2,0,Attack
6,14612,0,0.410621407062688,2922,9073882,7387,109,6,0,0,0,0,0,4,2,0,Attack
