Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
6,7431,59.07684026375993,0.8074283407347598,1486,4198690,4192,0,6,0,439,73,32120,0,1,0,1,Attack
6,7645,66.18705035971223,1.3080444735120995,849,2863876,4202,0,10,0,506,50,25608,0,1,0,1,Attack
6,7643,44.09263378254612,0.9158707313881983,1273,3932365,4215,0,7,0,337,48,16233,0,1,0,1,Attack
6,7640,34.424083769633505,0.7853403141361257,1528,4435782,4202,0,6,0,263,43,11522,0,1,0,1,Attack
6,7607,50.34836334954647,1.5774944130406205,691,1754415,4191,0,12,0,383,31,12225,0,4,0,1,Attack
6,198,2823.2323232323233,40.4040404040404,28,4057,173,0,8,0,559,69,39101,0,1,0,1,Attack
6,275,1014.5454545454545,29.09090909090909,39,8811,253,0,8,0,279,34,9753,0,1,0,1,Attack
6,263,1870.722433460076,22.813688212927758,52,11074,241,0,6,0,492,82,40363,0,1,0,1,Attack
6,183,3448.087431693989,43.71584699453552,26,3853,168,0,8,0,631,78,49828,0,1,0,1,Attack
6,160,1725.0,56.25,20,2423,142,0,9,0,276,30,8508,0,1,0,1,Attack
6,148,3033.7837837837837,54.054054054054056,21,1959,122,0,8,0,449,56,25193,0,1,0,1,Attack
6,153,2065.359477124183,39.21568627450981,30,3501,136,0,6,0,316,52,16648,0,1,0,1,Attack
6,129,2147.2868217054265,62.01550387596899,18,1611,110,0,8,0,277,34,9612,0,1,0,1,Attack
6,136,2389.705882352941,66.17647058823529,17,1608,117,0,9,0,325,36,11763,0,1,0,1,Attack
6,130,2484.6153846153848,61.53846153846154,18,1603,110,0,8,0,323,40,13073,0,1,0,1,Attack
6,95,4894.736842105263,94.73684210526316,11,604,73,0,9,0,465,51,24134,0,1,0,1,Attack
6,284,1507.0422535211267,28.169014084507044,40,9156,258,0,8,0,428,53,22910,0,1,0,1,Attack
6,103,4524.271844660194,77.66990291262135,14,765,77,0,8,0,466,58,27213,0,1,0,1,Attack
6,1835,292.09809264305176,4.359673024523161,262,460836,1802,0,8,0,536,67,35948,0,1,0,1,Attack
6,77,5337.662337662337,64.93506493506493,19,431,46,3,5,0,411,82,33794,0,1,0,1,Attack
6,281,1715.3024911032028,28.469750889679716,40,8526,250,0,8,0,482,60,28990,0,1,0,1,Attack
6,112,3607.1428571428573,89.28571428571429,12,933,95,0,10,0,404,40,16367,0,1,0,1,Attack
6,246,1967.479674796748,32.520325203252035,35,6627,220,0,8,0,484,60,29296,0,1,0,1,Attack
6,91,3681.3186813186812,98.9010989010989,11,525,68,0,9,0,335,37,12510,0,1,0,1,Attack
6,225,1946.6666666666667,35.55555555555556,32,5740,205,0,8,0,438,54,24041,0,1,0,1,Attack
6,185,2562.162162162162,43.24324324324324,26,3465,160,0,8,0,474,59,28166,0,1,0,1,Attack
6,190,2621.0526315789475,42.10526315789474,27,3807,168,0,8,0,498,62,31060,0,1,0,1,Attack
6,161,2099.3788819875776,37.267080745341616,32,3777,142,0,6,0,338,56,19013,0,1,0,1,Attack
6,154,3409.090909090909,51.94805194805195,22,2397,133,0,8,0,525,65,34570,0,1,0,1,Attack
6,134,3074.626865671642,67.16417910447761,16,1470,112,0,9,0,412,45,18913,0,1,0,1,Attack
6,131,2473.2824427480914,61.06870229007634,18,1424,105,0,8,0,324,40,13158,0,1,0,1,Attack
6,125,4728.0,72.0,15,1172,100,0,9,0,591,65,38932,0,1,0,1,Attack
6,106,3367.9245283018868,84.90566037735849,13,933,90,0,9,0,357,39,14214,0,1,0,1,Attack
6,131,2679.389312977099,61.06870229007634,18,1387,103,0,8,0,351,43,15463,0,1,0,1,Attack
6,108,4333.333333333333,74.07407407407408,15,848,81,0,8,0,468,58,27425,0,1,0,1,Attack
6,80,5100.0,75.0,16,547,57,0,6,0,408,68,27754,0,1,0,1,Attack
6,77,4779.220779220779,103.8961038961039,11,327,51,0,8,0,368,46,16946,0,1,0,1,Attack
6,67,5791.044776119403,74.6268656716418,16,547,51,0,5,0,388,77,30092,0,1,0,1,Attack
6,64,6218.75,93.75,12,296,43,0,6,0,398,66,26368,0,1,0,1,Attack
6,67,7029.850746268657,119.40298507462687,9,199,41,0,8,0,471,58,27812,0,1,0,1,Attack
6,5254,122.95393985534831,1.1419870574800153,1050,2999389,4011,0,6,0,646,107,69591,0,1,0,1,Attack
